year,month,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2008,1,0.00017741102304724005,1.1580113524032654e-05,0.00015251530535178348,0.00010055677923829972,6.860273023526938e-05,0.0003752523321380315,30.886752136752136,3.9427002792503636,30.0,20.468296494723663,2,65
2008,2,0.00023092523805587757,,0.00023092523805587757,0.0,0.00023092523805587757,0.00023092523805587757,47.0,,47.0,0.0,47,47
2008,3,0.0005714249804550927,,0.0005623845744677356,0.00047424692430217473,0.00010851240774472338,0.001445517653848912,63.55555555555556,,80.0,38.14041633260827,19,115
2008,4,0.0009561271766946999,0.0008884345980808523,0.0010607747705021877,0.0003519530271778276,0.0003279090477509843,0.0022864483748491924,86.0,36.76955262170047,91.5,12.658988901172163,60,132
2008,5,0.004757803333219573,0.0035894709762167047,0.005021485824577924,0.0018124833333318655,0.00010007771940692956,0.016378849789041684,138.2753419184662,44.881932508255666,142.25,28.066525252509905,16,205
2008,6,0.007262900156250726,0.003983644347871121,0.007983148547376386,0.003191690861217343,6.677707623479695e-05,0.017759281858445344,150.5268338749471,48.03902161993662,161.7,33.089372474397656,1,208
2008,7,0.011079046571988677,0.0010511649309727477,0.012816150104211223,0.005310696258385645,6.677707623479695e-05,0.021449807549949466,178.1291259319895,7.57464766082514,195.75,40.22016849664658,1,215
2008,8,0.006634477062980352,0.002971483035037261,0.005431977253311397,0.00541377154019466,6.677707623479695e-05,0.05513322536354969,146.54212710309795,20.86677793803272,157.2,48.11340662461264,1,250
2008,9,0.006736072170679191,0.0038339503196951155,0.004628533380271831,0.006310444506169451,6.677707623479695e-05,0.05977992970248461,142.98052535658434,17.992878982863957,155.25,52.921315716335606,1,253
2008,10,0.005559330008020377,0.0013529426091990924,0.004132270069454316,0.004824366965368992,6.677707623479695e-05,0.02521781184235494,137.565280538206,4.030562392684069,152.5,54.640873889071166,1,221
2008,11,0.0012224578548107666,0.001434043040341408,0.0011103980830239404,0.0008364890090091029,7.047829676137728e-05,0.009811093170815422,78.24942198124333,37.23366272532417,82.2,34.75497731913768,3,186
2008,12,0.0007355981649611716,0.00029599135290983564,0.0007615524036660316,0.0003413140450392764,8.512426989050051e-05,0.0022864483748491924,80.0978835978836,26.14185281237596,81.66666666666667,20.776975690912753,10,132
2009,2,0.0005048674830098632,,0.0005048674830098632,0.0,0.0005048674830098632,0.0005048674830098632,76.0,,76.0,0.0,76,76
2009,3,0.0002994196761738392,0.00022541927876967814,0.0002687241990166063,0.00011965090059622331,6.677707623479695e-05,0.001263145560429136,46.02380952380952,29.735769477088663,45.5,10.81163486696415,1,110
2009,4,0.0009521820843607506,0.0005942536285779474,0.0005897301284430265,0.0007780932459825975,0.00015829798984973465,0.005568309930770164,84.47802197802199,15.752844672756199,80.0,17.3537413503391,33,165
2009,5,0.006905235864981379,0.004884794227298843,0.007556142694141288,0.00279425775845936,6.677707623479695e-05,0.017286672330235658,152.58971184131315,40.44944111118398,160.2,25.68415174903721,1,207
2009,6,0.012025578348031293,0.000430067746489575,0.012886073676689013,0.004281388112045531,6.860273023526938e-05,0.021449807549949466,187.4243814138129,6.203142247764662,196.0,25.876423185922796,2,215
2009,7,0.008607073349191932,0.0024147516734217486,0.009062341615511182,0.005258657628392793,6.677707623479695e-05,0.034855827690357666,166.7170577142475,10.485256815435973,180.5,38.84176932103664,1,233
2009,8,0.005198435516507989,0.0007840470947406288,0.003017502387838828,0.005658053420039366,6.677707623479695e-05,0.058189067831025315,133.99608923710008,10.568918038398673,140.8,52.47964888211309,1,252
2009,9,0.004482786839394149,0.002102703396148416,0.0020587977907419773,0.005103418896207615,6.677707623479695e-05,0.04209915704428271,121.18747090592936,18.642422762273053,125.25,54.27652881171257,1,240
2009,10,0.007039980258687957,0.004768319174305649,0.007657287110057268,0.0036738614725598737,6.677707623479695e-05,0.021449807549949466,143.03480321879027,54.9285038170665,157.5,37.25279574118668,1,215
2009,11,0.002235594984048945,0.0021056668295618233,0.0019899248785585,0.0014895902131607445,6.677707623479695e-05,0.015105718944621501,100.64767785346173,46.068344108193884,106.5,32.570949535191815,1,202
2009,12,0.000248003076783432,0.00011505169714205949,0.0001458172084621181,0.0002936075310014989,6.677707623479695e-05,0.004865790431142645,34.54938186813187,6.053402584252044,29.625,26.463776703348078,1,160
2010,1,0.00039897624278235466,,0.00011920211155692434,0.0005215972722139708,6.677707623479695e-05,0.0015256376578027826,41.666666666666664,,22.0,40.55312017040804,1,117
2010,2,0.0005862641048675698,,0.0005328505274418883,0.00045590934171935854,0.0001421082855563661,0.001445517653848912,69.18181818181819,,78.0,31.188046025296828,29,115
2010,3,0.0004107471284190684,3.261735507019754e-05,0.00023052664133398236,0.0004210126378927407,6.860273023526938e-05,0.0017936404932533908,51.22049689440993,7.988989037132483,42.5,33.59481990614843,2,123
2010,4,0.002858462349977843,0.0021497196116435084,0.0024959111382985445,0.0021251816128972263,7.24051403982037e-05,0.011227612102877545,111.16883401278389,37.708822945384775,112.625,39.794745788227814,4,191
2010,5,0.009051677626896178,0.002691474343442186,0.010070265488262965,0.004938701335458281,6.677707623479695e-05,0.020323354845454233,167.11740924001174,13.265805149565491,185.0,42.20070188330789,1,213
2010,6,0.004890650369933503,0.0014287286131436287,0.0037270640154280906,0.004156770739023036,6.677707623479695e-05,0.020323354845454233,132.33877648635578,16.513328061477658,145.25,52.746298622890365,1,213
