season,mean_ci,mean_ci,mean_ci,mean_ci,mean_ci,median_ci,median_ci,median_ci,median_ci,median_ci,std_ci,std_ci,std_ci,std_ci,std_ci,min_ci,min_ci,min_ci,min_ci,min_ci,max_ci,max_ci,max_ci,max_ci,max_ci,mean_dn,mean_dn,mean_dn,mean_dn,mean_dn,median_dn,median_dn,median_dn,median_dn,median_dn,std_dn,std_dn,std_dn,std_dn,std_dn,min_dn,min_dn,min_dn,min_dn,min_dn,max_dn,max_dn,max_dn,max_dn,max_dn
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
Fall,0.003069143809777313,0.0023311368471323397,0.002836664081270917,0.00015707347110200293,0.015419212261749936,0.0020772885486859067,0.000938856894793467,0.0025840694100097484,8.745152757570437e-05,0.011849919498210883,0.0030909992244983085,0.002802480535326179,0.0026212834067414884,0.00011188552147146818,0.014931924860873096,6.958071201911085e-05,6.677707623479695e-05,1.2024276855649924e-05,6.677707623479695e-05,0.00018115294552343463,0.01709229849315119,0.013199923066441688,0.014341362642576513,0.00042943100759441867,0.05977992970248461,97.96722250204746,98.02833139690767,38.09789837603377,24.692307692307693,178.82901554404145,100.6963190184049,99.0,46.90565246620407,11.0,193.0,47.40287312194683,49.192366164770824,12.412232275618555,18.311350456903927,72.92636921973757,2.1901840490797544,1,4.4410433476042055,1,38,192.2085889570552,197.0,37.111685622254655,70,253
Spring,0.0017923794460535918,0.0005766737461812101,0.002630739475043184,9.260099464871504e-05,0.011717908924995957,0.001636918005142796,0.00038565179639035144,0.0029835582992162103,9.260099464871504e-05,0.013199923066441688,0.001277722318883603,0.0005955571212150024,0.0014616905570345624,0.0,0.006458551131259954,0.0001537825142119658,6.677707623479695e-05,0.000353651282374766,6.677707623479695e-05,0.0028370918749717113,0.007187245337604912,0.005494218074177015,0.005770356428263813,0.00010007771940692956,0.028858742295052624,80.89732620033645,65.08343227526048,40.05754774723822,13.0,189.8618925831202,82.20454545454545,66.0,45.874210421741104,13.0,197.0,33.904807604872744,33.761994893784724,11.414542708299306,0.0,65.57732338935985,11.785714285714286,1,26.66224578200524,1,140,161.4935064935065,164.5,35.6297677471471,16,226
Summer,0.00625843733518836,0.005659911300036464,0.0033399895017140256,0.0006498754330678271,0.015816361998200683,0.00537245224019152,0.003921402306985135,0.003996187572611225,0.00033239148767327695,0.016826639874000782,0.0049604964602174995,0.0045415317875488505,0.0025074452114714663,0.0,0.013076319647284267,0.00012387783517911057,6.677707623479695e-05,0.0005097204286496188,6.677707623479695e-05,0.006372258716007311,0.0268286149358988,0.02203623524596353,0.015199905571651635,0.0017459081809869956,0.05977992970248461,142.40259046155387,140.80038578425064,24.983076874538988,64.45973154362416,193.45384615384614,153.05357142857142,152.0,29.741502873199682,60.5,206.0,46.22455192948286,47.17050578234111,10.515534171245763,0.0,68.59987127383567,4.708333333333333,1,18.306555930047576,1,170,216.83928571428572,216.0,23.91309874738758,122,253
Winter,0.00040671776695813905,0.00036209071760516526,0.00018956925649362202,6.860273023526938e-05,0.0014893118907678528,0.0002685358238483529,0.00022938889400943464,0.0001458069267172596,6.860273023526938e-05,0.0009908944592761167,0.0003924154962013033,0.00036758892381761536,0.00019375067721675367,0.0,0.001022940505890735,8.586076442262127e-05,6.677707623479695e-05,7.744566766412905e-05,6.677707623479695e-05,0.0005777599054356696,0.0035002153118851888,0.0035203464008066207,0.0019451465389879814,6.860273023526938e-05,0.009550000624864566,51.331982534463144,49.47316384180791,13.573604928947908,2.0,107.33333333333333,48.92307692307692,46.75,15.330400149824106,2.0,101.0,29.958252142637058,31.127969201486906,7.490056829041675,0.0,41.64622627880354,5.461538461538462,1,14.517647024713341,1,81,137.73076923076923,148.0,34.00610717187564,2,185
