date,mean_u10,mean_v10,mean_d2m,mean_t2m,mean_sp,mean_tp,mean_ssr,mean_str,mean_tcc,mean_mn2t,mean_mx2t
2018-08-12,1.4284653055614658,0.5451017703328814,292.7823050362723,296.5240740094866,99144.86607142857,0.0016780737187216492,640412.5133928572,-167723.7857142857,0.62104845898492,295.5041809082031,298.3115539550781
2018-08-19,0.8560600727796555,0.5845907841409955,292.7130344935826,296.3153294154576,99198.30357142857,0.0003490077457114541,720858.3214285715,-200494.6986607143,0.5748381529535566,295.0690002441406,297.1346435546875
2018-08-26,1.6029122131211417,2.318490743637085,290.4319327218192,295.14893886021207,99251.03125,0.0002776658207039557,695232.75,-194934.6919642857,0.5645278245210648,292.57061767578125,297.1046142578125
2018-09-02,1.6796910635062627,2.2872232028416226,293.3868974958147,297.07630702427457,99491.0859375,0.0022754088695362542,361277.03125,-152684.49609375,0.6767997741699219,294.1107177734375,298.9241943359375
2018-09-09,-1.6632385466779982,-0.5489657010350908,292.0027553013393,295.5206952776228,99847.21205357143,0.00014230367082745943,615836.9107142857,-189557.06361607142,0.7500749230384827,289.21368408203125,299.4130554199219
2018-09-16,-2.4712202719279697,-0.3384013740079744,290.9869864327567,293.4776611328125,99667.69754464286,0.001998458332014384,460127.25446428574,-183196.04073660713,0.5471745942320142,288.7560729980469,296.68524169921875
2018-09-23,-0.4877940927233015,0.12102873836244855,289.1054120744978,292.9629690987723,99358.20870535714,0.000561414542062145,393136.6473214286,-200997.4564732143,0.5382345914840698,288.2325134277344,296.22723388671875
2018-09-30,0.6152883363621575,1.876720973423549,285.35335431780135,289.87135532924106,99609.26450892857,0.0016625620137345574,389665.88616071426,-142573.6724330357,0.7120640363012042,287.4051513671875,292.7868957519531
2018-10-07,-0.2743587855781828,0.2475029911313738,287.987801688058,290.5739964076451,99508.11607142857,0.0005417401687281241,351958.33147321426,-239628.62723214287,0.8438291209084647,285.5909729003906,293.630126953125
2018-10-14,2.417660747255598,1.7912697962352209,285.0773359026228,289.10996791294644,99185.79017857143,0.0004782902158239635,408099.95535714284,-294573.015625,0.6433962349380765,280.92315673828125,296.4891357421875
2018-10-21,6.0977984837123325,0.5603084138461522,276.34495762416293,282.0379202706473,99458.56361607143,0.0019095539723108933,232842.07254464287,-175960.83984375,0.5692846604755947,278.525390625,286.3926696777344
2018-10-28,0.6644898142133441,-0.6880279438836234,275.99454171316967,280.58162580217635,99314.05245535714,0.0025323902736997484,226078.97935267858,-151353.5078125,0.7004435701029641,279.17645263671875,283.0122375488281
2018-11-04,1.257851208959307,-1.0620675001825606,278.1276201520647,281.59654017857144,98956.12723214286,0.0008441950833456664,242224.68191964287,-247811.90401785713,0.8012997848646981,279.4350280761719,285.7590026855469
2018-11-11,3.9759130222456798,2.5318000657217845,275.0579092843192,279.40384783063615,99414.88504464286,0.0009997793304136059,162747.67410714287,-170369.0591517857,0.81619793176651,274.7821960449219,284.42388916015625
2018-11-18,2.5261214120047435,0.07067649279321954,270.97010585239957,275.4624982561384,99887.72209821429,0.0013696164831457234,179125.56138392858,-163619.10714285713,0.9213912657329014,272.5208435058594,277.18084716796875
2018-11-25,1.7540593998772758,1.2526578243289674,270.60337611607144,275.05128261021207,99510.67745535714,0.0011662518463706221,188935.71986607142,-138934.17745535713,0.8880515609468732,269.2925720214844,279.32916259765625
2018-12-02,2.0009990951844623,0.13434493115970067,272.98170253208707,275.8525913783482,98584.07700892857,0.0002559391162079613,216956.35714285713,-248723.91964285713,0.9294027941567558,272.9136047363281,280.8511047363281
2018-12-09,4.1494970832552225,-0.4630394663129534,268.5312979561942,273.1512015206473,99711.25669642857,0.00017223809027200332,236279.13392857142,-203322.99888392858,0.7887964163507734,270.8956298828125,278.5565490722656
2018-12-16,0.06346577193055834,0.37595600741250174,272.21085466657365,274.99122401646207,99587.234375,0.001318678624556809,159623.96763392858,-144835.0855189732,0.800438037940434,271.98236083984375,277.20635986328125
2018-12-23,2.595970724310194,-0.18250103081975663,271.8245631626674,275.2236851283482,98803.5625,0.0018923153293142257,142111.72265625,-123618.95354352679,0.7456153546060834,273.32672119140625,277.0987243652344
