date,mean_u10,mean_v10,mean_d2m,mean_t2m,mean_sp,mean_tp,mean_ssr,mean_str,mean_tcc,mean_mn2t,mean_mx2t
2010-03-31,-0.6262109068132216,-1.371902716976981,271.47173481602823,274.86514380670366,99115.86542338709,0.002453172506644686,475254.37399193546,-189186.16979586694,0.5620181896543551,268.7828369140625,278.8619689941406
2010-04-30,1.0014281928539277,0.3898085437094172,276.82538553873695,282.22776184082034,99080.30911458333,0.0040401687955262285,697637.1953125,-206239.04466145832,0.5940212438503901,276.9584655761719,286.916259765625
2010-05-31,-0.0396655442253236,0.4621016541796346,284.4803653840096,289.31763778194306,99229.73613911291,0.005051079619835699,826055.7288306452,-240301.57258064515,0.5461707195687678,279.1532897949219,297.7862243652344
2010-06-30,1.9180756576359272,0.33988753122588,289.64764607747395,294.68198649088544,98969.76041666667,0.004637921195012399,861901.2916666666,-245592.83333333334,0.5701908874015014,289.04248046875,298.0415954589844
2010-07-31,1.8733072230412113,0.6178527474403381,291.64366691343247,297.8334006032636,99207.36239919355,0.003921832525307055,892757.9385080645,-257882.46370967742,0.40149805922156967,290.94677734375,301.9005432128906
2010-08-31,0.7234821011943202,0.5496666662154659,291.47555049773183,296.88159671906504,99176.02444556452,0.003183034621987062,761239.5685483871,-243943.18649193548,0.42699522656508754,292.07489013671875,299.8153381347656
2010-09-30,2.1166772074997424,0.7945422430833181,286.17165222167966,291.4002614339193,99127.39244791666,0.004470254930002001,505301.38723958336,-228157.95963541666,0.5715425867587328,285.9482421875,299.6917724609375
2010-10-31,2.258158700360406,-0.23554784888702054,280.08846652123236,285.2820385348412,99052.30619959677,0.002784804696796655,403799.6799395161,-257499.01965725806,0.5330471223400485,280.4024963378906,289.99224853515625
2010-11-30,0.9962580939133961,0.8575345734755199,274.8098876953125,279.24876302083334,99461.98880208333,0.004978999951431929,287566.628125,-237276.67526041667,0.5834240804115931,273.9306335449219,284.7494812011719
2010-12-31,3.867157736132222,-1.0373377742305878,267.0345458984375,270.6485516948085,99169.78629032258,0.0021251085424292956,166336.30670362903,-201211.71077998992,0.834162869761067,264.43157958984375,276.9779968261719
2011-01-31,2.517082416242169,0.2948313434758494,264.61902593797254,267.72632131268904,99207.76008064517,0.0028298078152882255,131821.31439012097,-158428.6479019657,0.7826230708629854,258.828125,279.17236328125
2011-02-28,2.082072192536933,0.48937073243515833,265.5754154750279,268.75694383893693,99276.51422991071,0.003100261454859355,205439.8685825893,-182388.19907924108,0.6420520597270557,259.4105224609375,279.130126953125
2011-03-31,0.30722714047278127,-0.2977053335597439,269.23848995085683,272.66949659778226,99624.4574092742,0.005262782468648629,427192.3434979839,-180870.80827872985,0.6689818689539548,264.606201171875,280.3622741699219
2011-04-30,0.4366305318661034,0.72043833086888,276.04828389485675,279.3474110921224,98815.99739583333,0.008594649935582614,516480.3145833333,-116083.25801595052,0.8007542371749878,273.53192138671875,287.45281982421875
2011-05-31,-0.8823121709208335,-0.06001402533823444,284.15064362556706,287.3373501685358,99043.93069556452,0.00408501237963985,793873.1698588709,-192143.86239919355,0.7097516792916483,279.132568359375,297.9547119140625
2011-06-30,1.3217759025593598,0.3257902301847935,288.6622263590495,293.9087799072266,99040.76041666667,0.0043495699680133155,886605.96875,-242239.63697916668,0.5813783889015516,288.83551025390625,298.80511474609375
2011-07-31,1.1912154055410815,0.16510017997314855,292.0536115092616,298.49359327746976,99097.97001008065,0.0052055780282348725,882492.7631048387,-254098.7414314516,0.44664496802274256,294.7455139160156,302.37939453125
2011-08-31,1.4086659885942936,-0.3841465389536273,290.3004809964088,296.01607784148183,98908.31376008065,0.004432109559639452,771201.8195564516,-263507.7938508064,0.46588878141295526,292.4303283691406,299.7622375488281
2011-09-30,-0.1725185066461563,0.2394628624121348,287.8254048665365,291.7307118733724,99220.27734375,0.007569596484031371,439281.75833333336,-199761.991015625,0.6232690493265788,286.09539794921875,300.5135803222656
