date,mean_u10,mean_v10,mean_d2m,mean_t2m,mean_sp,mean_tp,mean_ssr,mean_str,mean_tcc,mean_mn2t,mean_mx2t
2009-01-01,2.360822916030884,-1.0855426788330078,260.9918212890625,266.37542724609375,100163.46875,2.110004425048828e-05,249251.453125,-209146.03125,0.7196024060249329,266.2970886230469,266.65283203125
2009-01-02,3.5491020679473877,4.997641086578369,266.5521545410156,272.3299255371094,98600.875,1.214645976688189e-06,207106.8125,-279695.09375,0.8626416325569153,272.0753173828125,272.25823974609375
2009-01-03,3.9793899059295654,-1.6722921133041382,264.84722900390625,269.1727600097656,99325.78125,8.517020614817739e-05,83085.8359375,-87113.703125,0.5497962236404419,269.10943603515625,269.45123291015625
2009-01-04,-3.669501304626465,0.7799215316772461,266.9451904296875,270.4522705078125,99488.5078125,1.5352223272202536e-05,225751.5625,-210219.75,0.583179771900177,270.1258544921875,270.5093078613281
2009-01-05,5.737953186035156,-0.3286829888820648,268.4978332519531,271.8907775878906,99416.8203125,0.00013449546531774104,139493.84375,-211009.125,0.8964551091194153,271.6883850097656,272.0176696777344
2009-01-06,-0.4890903830528259,0.8007949590682983,264.98895263671875,268.9649353027344,99085.9140625,0.0005277330637909472,86692.109375,-27210.779296875,0.4032319486141205,268.99566650390625,269.2626037597656
2009-01-07,-0.4235343933105469,1.9997183084487915,271.42578125,272.8148498535156,97055.25,0.0001377849985146895,122987.671875,-160961.765625,0.9947241544723511,272.7192077636719,272.87054443359375
2009-01-08,9.285232543945312,1.544238567352295,267.5834045410156,270.1465759277344,97166.6015625,8.47271949169226e-05,147986.59375,-170876.59375,0.9537509083747864,269.986328125,270.2303161621094
2009-01-09,5.815055847167969,0.49672287702560425,265.1680603027344,268.32745361328125,99090.2109375,0.0004740776203107089,55629.1875,-71853.1640625,0.7891029119491577,268.1693115234375,268.45703125
2009-01-10,-3.720101833343506,-0.9046735763549805,266.25164794921875,268.4973449707031,99619.671875,7.163350528571755e-05,142076.109375,-166286.71875,0.970741868019104,268.3600158691406,268.5585021972656
2009-01-11,-0.34935852885246277,-3.7605185508728027,264.4305725097656,266.90496826171875,99234.875,1.5634137525921687e-05,130665.515625,-177672.796875,0.8105672597885132,266.6993103027344,267.00634765625
2009-01-12,3.5340254306793213,1.4948132038116455,264.11798095703125,266.4251708984375,99594.0703125,0.000168586106155999,107011.0234375,-109203.5390625,0.7294492721557617,265.9547119140625,266.2680969238281
2009-01-13,3.691427707672119,4.692233562469482,268.84295654296875,271.1782531738281,98946.6328125,7.31348991394043e-05,94793.7265625,-207471.734375,0.9535009860992432,270.7860107421875,271.2011413574219
2009-01-14,2.6132099628448486,-1.474509596824646,256.34796142578125,260.4292297363281,99493.171875,2.2172927856445312e-05,145604.109375,-273578.96875,0.6932558417320251,259.86474609375,260.5301513671875
2009-01-15,2.9341471195220947,-2.0211164951324463,256.33380126953125,259.6927490234375,99960.5390625,2.54672922892496e-05,129832.21875,-259700.484375,0.6256080865859985,259.3097839355469,259.6734924316406
2009-01-16,7.492289066314697,2.541604995727539,252.7399139404297,256.5559997558594,100802.1484375,9.649025741964579e-05,80734.2734375,-171719.640625,0.6394187211990356,256.0704040527344,256.4198303222656
2009-01-17,2.8075554370880127,5.528180122375488,252.81674194335938,257.2811584472656,100455.015625,0.0001631604682188481,121228.7578125,-108215.78125,0.6979802846908569,256.6193542480469,257.0467224121094
2009-01-18,2.816633939743042,4.822914123535156,264.7077941894531,267.72698974609375,98337.359375,4.024763256893493e-05,112127.3515625,-149058.8125,0.9815364480018616,267.5604248046875,267.94610595703125
2009-01-19,4.634556770324707,2.1674413681030273,261.80792236328125,264.3232727050781,98193.9140625,1.858215000538621e-05,117455.5703125,-154240.75,0.7861711382865906,263.8472595214844,264.19073486328125
2009-01-20,2.145386219024658,-3.3796029090881348,261.1591491699219,263.887939453125,98611.515625,4.827976226806641e-06,135424.0,-212280.703125,0.8233604431152344,263.70477294921875,263.9939270019531
2009-01-21,4.741389751434326,1.2319653034210205,258.511474609375,261.61871337890625,99139.171875,3.152602403133642e-06,126314.1640625,-164276.625,0.7481505870819092,261.2102966308594,261.5968017578125
2009-01-22,5.220558166503906,4.243195533752441,264.47528076171875,267.4752197265625,98940.7734375,3.11394001073495e-06,140515.03125,-149582.4375,0.5067183971405029,266.6841125488281,266.9365539550781
2009-01-23,2.9582860469818115,3.9013588428497314,269.3007507324219,271.4756164550781,98656.625,2.220675742137246e-05,150050.8125,-218682.34375,0.78901207447052,270.78125,271.1241455078125
2009-01-24,5.191494941711426,-3.993020534515381,261.97906494140625,266.162841796875,99595.4453125,1.5658300753784715e-06,131452.109375,-252187.5625,0.8673806190490723,265.5216064453125,266.20831298828125
2009-01-25,4.849054336547852,2.4971253871917725,257.0096130371094,260.5196228027344,100220.921875,4.673326202464523e-06,157891.671875,-215467.328125,0.4042130410671234,259.69256591796875,259.99530029296875
2009-01-26,3.591851234436035,1.6519975662231445,257.8224792480469,260.8480529785156,100450.296875,2.1515665139304474e-05,165697.078125,-164829.890625,0.6716455817222595,260.05499267578125,260.37115478515625
2009-01-27,1.5201550722122192,0.5755205154418945,260.89910888671875,264.1868591308594,100631.03125,0.000724608835298568,39419.890625,-40783.62890625,0.9584295749664307,263.4095153808594,263.68487548828125
2009-01-28,-1.6438066959381104,-2.239614248275757,265.39813232421875,267.3930969238281,99015.390625,2.827515527314972e-05,104037.40625,-113278.5390625,1.0,267.34735107421875,267.4809875488281
