end_date,filename,start_date
2021-03-20,L20210732021079.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-03-14
2019-06-22,L20191672019173.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-06-16
2018-04-14,L20180982018104.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-04-08
2019-06-01,L20191462019152.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-05-26
2024-07-13,L20241892024195.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-07-07
2010-07-31,M20102062010212.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-07-25
2022-10-22,L20222892022295.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-10-16
2024-01-13,L20240072024013.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-01-07
2016-04-30,L20161152016121.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-04-24
2019-08-03,L20192092019215.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-07-28
2021-12-18,L20213462021352.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-12-12
2018-07-07,L20181822018188.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-07-01
2011-04-30,M20111142011120.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-04-24
2019-08-10,L20192162019222.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-08-04
2023-11-25,L20233232023329.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-11-19
2009-05-23,M20091372009143.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-05-17
2009-08-29,M20092352009241.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-08-23
2020-02-29,L20200542020060.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-02-23
2019-03-23,L20190762019082.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-03-17
2009-09-26,M20092632009269.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-09-20
2010-05-22,M20101362010142.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-05-16
2024-10-05,L20242732024279.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-09-29
2017-08-12,L20172182017224.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-08-06
2022-12-17,L20223452022351.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-12-11
2009-11-07,M20093052009311.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-11-01
2018-07-28,L20182032018209.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-07-22
2023-06-24,L20231692023175.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-06-18
