year,season,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2008,1,0.00042427897172587326,0.00033824692628852185,0.000424732623587046,0.00018937321040467548,6.860273023526938e-05,0.0022864483748491924,54.27912960055817,29.132749554994938,54.57142857142857,17.67654522241561,2,132
2008,2,0.003073556095246112,0.0033170430432012607,0.003252839630540544,0.0012040123302836131,0.00010007771940692956,0.016378849789041684,112.66527474706005,48.049460685255376,118.85714285714286,25.103499306427466,16,205
2008,3,0.008128790884579292,0.003417614049035927,0.00845287353002027,0.0045907212171859,6.677707623479695e-05,0.05513322536354969,156.9900934727274,32.44748341921325,169.82142857142858,40.49246924868841,1,250
2008,4,0.00425337676837324,0.0033568873558860817,0.0031227080164634062,0.0037478223793230223,6.677707623479695e-05,0.05977992970248461,116.41771796041368,39.22228595922993,126.3076923076923,46.46335730902428,1,253
2009,1,0.00029937595802871826,0.00015206424431358787,0.00021762726337166716,0.0002348860248011991,6.677707623479695e-05,0.004865790431142645,42.839505494505495,19.264306653447537,38.9,21.171021362678463,1,160
2009,2,0.003269430557572618,0.00437599604682518,0.0034121505484606966,0.0014535512065013214,6.677707623479695e-05,0.017286672330235658,103.24433964084018,54.32529309346106,104.79166666666667,19.18921906228624,1,207
2009,3,0.008347906490110218,0.003220668398653903,0.007913936392922686,0.005111573081688471,6.677707623479695e-05,0.058189067831025315,160.50355405367247,24.930987438145277,170.0,40.097770341415625,1,252
2009,4,0.004405311024044087,0.0035418720983398035,0.003754920307383805,0.0032736209646825904,6.677707623479695e-05,0.04209915704428271,120.00980659739899,43.381851320193924,127.96153846153847,40.69015737596585,1,240
2010,1,0.00043197633540974635,0.0001407203298543075,0.0003209137658593757,0.0003258355379777765,6.677707623479695e-05,0.0015256376578027826,56.282828282828284,13.837716565789574,52.666666666666664,23.913722065234953,1,117
2010,2,0.004846205416433423,0.004235984813166905,0.0050725759788913995,0.002909755706920751,6.677707623479695e-05,0.020323354845454233,121.55859668000024,51.08461557058049,127.55,39.517143049843966,1,213
2010,3,0.004576019192823017,0.0014174265839522002,0.003434191963701383,0.004005106348506436,6.677707623479695e-05,0.04564733211318595,133.79261285500075,12.88634491226216,144.3846153846154,47.40092140226171,1,243
2010,4,0.00353423649827974,0.0023611393326863593,0.0030737763932174975,0.0026236636916570945,6.677707623479695e-05,0.04689530880192727,115.05273670058067,45.69081654744298,122.16666666666667,39.918918410729695,1,244
2011,1,0.0003156708443517856,0.00015946075606526226,0.0001985832105910436,0.00032941842329254565,6.677707623479695e-05,0.004865790431142645,44.7001976284585,11.167090437845472,39.7,25.20007210848253,1,160
2011,2,0.0013957670520743826,0.0011377187012755873,0.0012044563234795151,0.0006159723399162527,7.24051403982037e-05,0.009811093170815422,87.63023809523808,44.034580052792606,84.9,18.730887822564668,4,186
2011,3,0.005850260609273616,0.003705496035786377,0.00487705732544,0.0044805975732914545,6.677707623479695e-05,0.05977992970248461,147.4536844050836,18.97020698634513,155.0909090909091,34.77574024229386,1,253
2011,4,0.004625045930193638,0.0049590646179569825,0.0031276731680930903,0.004568931250055781,6.677707623479695e-05,0.05977992970248461,115.77197740463266,39.7483288973643,120.0,44.411044937427015,1,253
2012,1,0.0003815922691459291,0.0004428447300868323,0.0002963824340916904,0.0002287098711001548,6.860273023526938e-05,0.0029146566385597063,45.61666666666667,31.794324557601065,42.785714285714285,15.624248120205863,2,141
2012,2,0.001519516005597243,0.0014275385231689453,0.0015862087067897849,0.0009291026618661653,0.00013106218378977397,0.0062026803395049835,93.15625,37.897772688754664,97.5,23.895592772890907,26,169
2016,1,0.0003702637916715537,2.329838195849291e-05,0.00023780698912580467,0.0003750781415262009,6.677707623479695e-05,0.0072922810778448905,50.46947596569719,1.7178362461825751,48.0,31.494364612682364,1,175
2016,2,0.002443726248775891,0.002327476247881275,0.0022295480191493367,0.0018033303407743232,6.860273023526938e-05,0.01874361693655935,105.196408975238,34.20752553562214,110.25,39.955429207398225,2,210
2016,3,0.00809253828301702,0.0029465866072241743,0.007435929270894953,0.0057854620098486634,6.677707623479695e-05,0.052237862751382015,154.3413371442946,21.477436775759532,166.46153846153845,49.6424730302153,1,248
2016,4,0.004808567411443914,0.002725117232076899,0.003840873616197143,0.004551150244243163,6.677707623479695e-05,0.03302534780013992,114.43903780890899,37.20532994869034,125.38461538461539,57.074568938529445,1,231
2017,1,0.00035785917373661757,0.00011241176594279774,0.00023234423840035132,0.0003665671913229959,6.677707623479695e-05,0.009550000624864566,48.00579305041695,9.832401488150621,46.035714285714285,29.833691655340967,1,185
2017,2,0.003141529596585448,0.0032253040224500323,0.002681445367008902,0.002525155648337205,6.677707623479695e-05,0.02203623524596353,97.36499916430785,43.276947592183305,102.84615384615384,44.285500489100166,1,216
2017,3,0.00909483456250242,0.0031593185641117677,0.008072280004194639,0.007105244527477751,6.677707623479695e-05,0.05977992970248461,157.4260007571065,18.743122229009096,171.26923076923077,51.112216874605764,1,253
2017,4,0.004399200880379659,0.003419403862504916,0.0021582850641895077,0.005519478722217516,6.677707623479695e-05,0.05977992970248461,108.57944469016833,32.714773487717856,108.08333333333333,55.90106445361988,1,253
2018,1,0.0004896162047671983,0.00024440085053563826,0.000313222556013293,0.0005101583102530025,6.677707623479695e-05,0.0067254508006298515,55.91876296652237,14.555482667317627,54.25,33.17172168033679,1,172
