year,season,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2017,2,0.0031406176337433703,0.0032245992326309387,0.0026438853863057893,0.002529110620974844,6.677707623479695e-05,0.02203623524596353,97.3682947314346,43.349636736366755,102.61538461538461,44.22013093915537,1,216
2017,3,0.009078242789053692,0.0031355824786085226,0.008031632245142752,0.007097427047440646,6.677707623479695e-05,0.05977992970248461,157.450681347965,18.67242247170008,171.15384615384616,50.98458978618128,1,253
2017,4,0.004402681006648488,0.003422137072987106,0.0021645298282828304,0.005513232960362602,6.677707623479695e-05,0.05977992970248461,108.67323174639574,32.69400703958487,108.45833333333333,55.9333596683414,1,253
2018,1,0.0004911536045724726,0.00024332967682125394,0.0003120624928681025,0.0005104985714820868,6.677707623479695e-05,0.0067254508006298515,56.10443879082519,14.438700847172267,54.25,33.20037845367068,1,172
2018,2,0.002147848847536695,0.003471242396559362,0.002300175410188913,0.001291182932618969,6.677707623479695e-05,0.020878985851911634,76.41130598050314,50.97172517184248,77.61538461538461,33.88551234507612,1,214
2018,3,0.0045741784256505425,0.003243227768694113,0.0033151987716162246,0.004388336119296754,6.677707623479695e-05,0.03580876970056082,125.81225601880584,26.167718601517265,131.03846153846155,47.68226975646076,1,234
2018,4,0.0032791059977574305,0.0027211762989091085,0.002852372659963935,0.0027758782493233244,6.677707623479695e-05,0.03045828176842181,96.3608448605624,46.81124384389123,100.11538461538461,47.90304414262112,1,228
2019,1,0.00044560698626582143,0.00017552663901787688,0.00028540340462074874,0.00045279386158091767,6.677707623479695e-05,0.0062026803395049835,54.14201683719725,11.14964901053275,52.30769230769231,32.890350716203145,1,169
2019,2,0.0011320372492070183,0.0018402139215529811,0.0009630624267095163,0.0008469584076313316,6.677707623479695e-05,0.013931548782293813,68.43690847548679,34.37804329177857,68.96153846153847,34.78633673997883,1,199
2019,3,0.007463846315555169,0.003647314967168513,0.0058498163812051385,0.006715633845980724,6.677707623479695e-05,0.05977992970248461,148.0406003773732,22.465447672246135,159.96153846153845,50.2790166700901,1,253
2019,4,0.0018638179507019415,0.0008817327550702748,0.0004585403209433442,0.0025770106335816284,6.677707623479695e-05,0.03129099693196857,78.32290052853179,19.613022204213095,67.38461538461539,54.55352872943992,1,229
2020,1,0.00035898343616613115,6.0000650694929147e-05,0.00022434895838438355,0.00037235506831407206,6.677707623479695e-05,0.0062026803395049835,48.62216760639601,5.4473049227836,45.291666666666664,31.392062986212423,1,169
2020,2,0.0005203837638317485,0.0002642503359605152,0.0003175763375326625,0.0006385847563859591,6.677707623479695e-05,0.013931548782293813,57.06327381593968,11.906050976799623,55.857142857142854,34.044468911373265,1,199
2020,3,0.003263034855562898,0.00145934577491216,0.0023939441132313378,0.0031248813700090706,6.677707623479695e-05,0.04443256654631229,118.67164176152005,22.04845195998556,125.0,45.8212464977362,1,242
2020,4,0.0009008143095266981,0.0007872006800263001,0.0006034052518840113,0.000912182705544067,6.677707623479695e-05,0.013199923066441688,67.09617685030281,28.47266116840438,66.07692307692308,37.119465121415836,1,197
2021,1,0.0004007079161366815,8.049645285790196e-05,0.00024838287238922543,0.00041420043416031527,6.677707623479695e-05,0.007491648628402593,51.76377405770778,6.536728195284908,48.92307692307692,32.59987856280786,1,176
2021,2,0.0008984746934337886,0.0008126390758287535,0.0004475021942966236,0.0013014754147904633,6.677707623479695e-05,0.028858742295052624,67.32642840842558,18.607268607614266,65.84615384615384,38.300885791164674,1,226
