year,month,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2010,6,0.0049191836245179995,0.0013993042681764078,0.0037679424892469995,0.0041307245741511,6.677707623479695e-05,0.020323354845454233,132.88636632106622,16.675123960632536,145.5,52.46253953448209,1,213
2010,7,0.004231788212083651,0.001847726591036133,0.0030454351570172056,0.003971453176251562,6.677707623479695e-05,0.04564733211318595,130.89319809681317,15.161893571435598,140.75,45.6491819276998,1,243
2010,8,0.004595382634079865,0.0012791438696077874,0.0035007914211902997,0.0038842873465884642,6.677707623479695e-05,0.03882678224095402,137.27630729182596,9.677952680582582,146.6,44.78897685413489,1,237
2010,9,0.0057996276469237966,0.001493497400481127,0.004913254074857367,0.004542143867740509,6.677707623479695e-05,0.04689530880192727,147.30542883589058,13.805387050492202,158.75,44.601095225073344,1,244
2010,10,0.0039537112867505785,0.0007946948229777589,0.0035847163351530645,0.002621102299805383,6.677707623479695e-05,0.019782510276304014,136.53257725639438,11.809844465159367,147.0,39.760066100668936,1,212
2010,11,0.0008738961675006067,0.001100165293675674,0.0008101873576569908,0.0006841134073044822,6.677707623479695e-05,0.0062026803395049835,62.28259161017782,39.23530570630658,68.25,34.19323305170192,1,169
2010,12,0.0003260345072955396,,0.00031068865857931445,0.00010825468231625833,0.00020179081761101134,0.00046562404569629304,57.666666666666664,,58.0,12.657891697365017,42,73
2011,1,0.0002684528450887183,,0.0002684528450887183,9.681328214165235e-05,0.00017163956294706596,0.00036526612723037066,50.0,,50.0,14.0,36,64
2011,3,0.00035466463532351036,0.00016892861615904189,0.00018674056910551447,0.0002951218944542723,7.24051403982037e-05,0.0013696052118942733,47.89629629629629,15.359725006111745,37.333333333333336,29.710510243010447,4,113
2011,4,0.0014590482282528644,0.0012874412818150984,0.0014364307443029288,0.0008188521695533915,8.512426989050051e-05,0.0047363021478686205,83.72222222222223,61.24865833753543,83.5,16.89285425475229,10,159
2011,5,0.0021507090556710058,0.0009670020919054828,0.0017978101939464196,0.0007832409628990196,6.677707623479695e-05,0.009811093170815422,117.23571428571428,26.056227793038676,116.0,14.999095585787064,1,186
2011,6,0.0035926498147267408,0.0024035890015958183,0.004075813965395143,0.0013714448075116531,0.0009645248027417586,0.007906884593269861,140.41666666666669,21.802459086585234,146.5,12.885446139820779,100,178
2011,7,0.006926624332665306,0.005230897426227791,0.006110275090880377,0.005106495296392508,6.677707623479695e-05,0.05977992970248461,150.53986038621028,26.754719849030824,162.2,38.459942899588825,1,253
2011,8,0.005863596079012056,0.0009571610933311504,0.004496120252618898,0.0052556803448589404,6.677707623479695e-05,0.04949455227475802,149.51745023817446,3.595107863744282,156.75,40.96070317142794,1,246
